season,league,competition,category,section,section_label,match_date,kickoff_time,home_team,away_team,home_score,away_score,stadium,attendance,status,match_url,match_id
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第１日,2026-08-21,19:34,FCtk,chib,2.0,0.0,MUFG国立,52200.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-FCtk-vs-chib
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第２日,2026-08-22,18:03,kasm,fuku,3.0,2.0,メルスタ,24717.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-kasm-vs-fuku
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第２日,2026-08-22,18:33,okay,tk-v,0.0,0.0,ＪＦＥス,14426.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-okay-vs-tk-v
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第２日,2026-08-22,19:03,nago,g-os,3.0,1.0,豊田ス,30651.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-nago-vs-g-os
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第２日,2026-08-22,19:03,kyot,mito,1.0,3.0,サンガＳ,19088.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-kyot-vs-mito
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第２日,2026-08-22,19:03,c-os,shim,1.0,0.0,ハナサカ,19024.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-c-os-vs-shim
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第２日,2026-08-22,19:20,hiro,ka-f,1.0,1.0,Ｅピース,27057.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-hiro-vs-ka-f
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第２日,2026-08-22,19:33,y-fm,kobe,1.0,0.0,日産ス,36601.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-y-fm-vs-kobe
2026_27,J1,明治安田J1リーグ,j1,3.0,第３節第３日,2026-08-23,19:35,mcd,uraw,3.0,1.0,MUFG国立,47781.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-3-mcd-vs-uraw
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,18:03,mito,mcd,1.0,1.0,水戸信ス,6746.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-mito-vs-mcd
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,18:03,g-os,hiro,0.0,0.0,パナスタ,30075.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-g-os-vs-hiro
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,18:33,shim,kasw,0.0,1.0,アイスタ,14211.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-shim-vs-kasw
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,18:34,ngsk,FCtk,0.0,3.0,ピースタ,19896.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-ngsk-vs-FCtk
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,19:03,uraw,y-fm,3.0,2.0,埼玉,33863.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-uraw-vs-y-fm
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,19:03,tk-v,kasm,0.0,2.0,味スタ,21966.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-tk-v-vs-kasm
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,19:03,ka-f,chib,4.0,2.0,Ｕ等々力,22919.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-ka-f-vs-chib
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,19:03,nago,okay,2.0,1.0,豊田ス,38671.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-nago-vs-okay
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,19:03,kyot,fuku,2.0,1.0,サンガＳ,15255.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-kyot-vs-fuku
2026_27,J1,明治安田J1リーグ,j1,4.0,第４節第１日,2026-08-29,19:03,kobe,c-os,1.0,0.0,ノエスタ,22767.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-4-kobe-vs-c-os
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,mito,kasm,4.0,2.0,水戸信ス,14506.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-mito-vs-kasm
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,chib,okay,1.0,2.0,フクアリ,9712.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-chib-vs-okay
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,tk-v,kobe,0.0,2.0,味スタ,9087.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-tk-v-vs-kobe
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,mcd,ka-f,2.0,1.0,Ｇスタ,9021.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-mcd-vs-ka-f
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,y-fm,kyot,1.0,1.0,日産ス,17521.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-y-fm-vs-kyot
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,shim,FCtk,1.0,1.0,アイスタ,11223.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-shim-vs-FCtk
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,c-os,kasw,2.0,0.0,ハナサカ,15526.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-c-os-vs-kasw
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,hiro,nago,3.0,0.0,Ｅピース,26892.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-hiro-vs-nago
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,fuku,uraw,2.0,3.0,ベススタ,7763.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-fuku-vs-uraw
2026_27,J1,明治安田J1リーグ,j1,5.0,第５節第１日,2026-09-02,19:03,ngsk,g-os,2.0,2.0,ピースタ,18015.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-5-ngsk-vs-g-os
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第１日,2026-09-05,19:03,fuku,mito,1.0,1.0,ベススタ,6501.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-fuku-vs-mito
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,18:03,kasm,uraw,0.0,1.0,メルスタ,26589.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-kasm-vs-uraw
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,18:03,chib,g-os,2.0,0.0,フクアリ,11316.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-chib-vs-g-os
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,18:03,nago,mcd,1.0,3.0,豊田ス,27049.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-nago-vs-mcd
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,18:03,okay,hiro,3.0,2.0,ＪＦＥス,14613.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-okay-vs-hiro
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,19:03,kasw,y-fm,0.0,2.0,三協Ｆ柏,10694.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-kasw-vs-y-fm
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,19:03,ka-f,shim,3.0,1.0,MUFG国立,37784.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-ka-f-vs-shim
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,19:03,c-os,tk-v,0.0,0.0,ハナサカ,16939.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-c-os-vs-tk-v
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,19:03,kobe,ngsk,3.0,1.0,ノエスタ,16868.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-kobe-vs-ngsk
2026_27,J1,明治安田J1リーグ,j1,6.0,第６節第２日,2026-09-06,19:33,FCtk,kyot,2.0,0.0,味スタ,14734.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-6-FCtk-vs-kyot
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第１日,2026-09-12,,kyot,kasw,,,サンガＳ,,postponed_or_tbd,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-kyot-vs-kasw
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第１日,2026-09-12,,kobe,kasm,,,ノエスタ,,postponed_or_tbd,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-kobe-vs-kasm
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第２日,2026-09-12,18:00,mito,ka-f,,,水戸信ス,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-mito-vs-ka-f
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第２日,2026-09-12,18:30,shim,fuku,,,アイスタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-shim-vs-fuku
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第２日,2026-09-12,19:00,mcd,y-fm,,,MUFG国立,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-mcd-vs-y-fm
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第２日,2026-09-12,19:00,g-os,FCtk,,,パナスタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-g-os-vs-FCtk
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第２日,2026-09-12,19:00,hiro,c-os,,,Ｅピース,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-hiro-vs-c-os
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第２日,2026-09-12,19:00,ngsk,nago,,,ピースタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-ngsk-vs-nago
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第３日,2026-09-13,18:00,tk-v,chib,,,味スタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-tk-v-vs-chib
2026_27,J1,明治安田J1リーグ,j1,7.0,第７節第３日,2026-09-13,18:30,uraw,okay,,,埼玉,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-7-uraw-vs-okay
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,18:00,ka-f,kasm,,,Ｕ等々力,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-ka-f-vs-kasm
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,18:00,fuku,hiro,,,ベススタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-fuku-vs-hiro
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,18:30,uraw,tk-v,,,埼玉,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-uraw-vs-tk-v
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,18:30,shim,chib,,,アイスタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-shim-vs-chib
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,18:30,ngsk,c-os,,,ピースタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-ngsk-vs-c-os
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,19:00,FCtk,nago,,,MUFG国立,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-FCtk-vs-nago
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,19:00,okay,kyot,,,ＪＦＥス,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-okay-vs-kyot
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第１日,2026-09-19,19:30,y-fm,mito,,,日産ス,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-y-fm-vs-mito
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第２日,2026-09-20,17:00,mcd,kasw,,,Ｇスタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-mcd-vs-kasw
2026_27,J1,明治安田J1リーグ,j1,8.0,第８節第２日,2026-09-20,17:00,g-os,kobe,,,パナスタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-8-g-os-vs-kobe
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第１日,2026-10-09,19:00,kasw,kobe,,,三協Ｆ柏,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-kasw-vs-kobe
