team,formation,formation_starts,source_url,source_updated_at
kasm,4-4-2,6,https://www.football-lab.jp/kasm/formation/,2026-09-07
mito,4-4-2,5,https://www.football-lab.jp/mito/formation/,2026-09-07
uraw,4-1-2-3,5,https://www.football-lab.jp/uraw/formation/,2026-09-07
chib,4-4-2,3,https://www.football-lab.jp/chib/formation/,2026-09-07
kasw,3-4-2-1,6,https://www.football-lab.jp/kasw/formation/,2026-09-07
FCtk,4-4-2,6,https://www.football-lab.jp/fctk/formation/,2026-09-07
tk-v,3-4-2-1,6,https://www.football-lab.jp/tk-v/formation/,2026-09-07
mcd,3-4-2-1,6,https://www.football-lab.jp/mcd/formation/,2026-09-07
ka-f,4-2-3-1,6,https://www.football-lab.jp/ka-f/formation/,2026-09-07
y-fm,4-2-3-1,6,https://www.football-lab.jp/y-fm/formation/,2026-09-07
shim,4-1-2-3,6,https://www.football-lab.jp/shim/formation/,2026-09-07
nago,3-4-2-1,6,https://www.football-lab.jp/nago/formation/,2026-09-07
kyot,4-2-3-1,6,https://www.football-lab.jp/kyot/formation/,2026-09-07
g-os,4-2-3-1,6,https://www.football-lab.jp/g-os/formation/,2026-09-07
c-os,3-4-2-1,6,https://www.football-lab.jp/c-os/formation/,2026-09-07
okay,3-4-2-1,6,https://www.football-lab.jp/okay/formation/,2026-09-07
kobe,4-1-2-3,6,https://www.football-lab.jp/kobe/formation/,2026-09-07
hiro,3-4-2-1,6,https://www.football-lab.jp/hiro/formation/,2026-09-07
fuku,3-4-2-1,6,https://www.football-lab.jp/fuku/formation/,2026-09-07
ngsk,3-4-2-1,6,https://www.football-lab.jp/ngsk/formation/,2026-09-07
