順位,Unnamed: 1,Unnamed: 2,ポイントCBP,90分平均,出場試合出場,ゴール,アシスト,team,source_url,source_updated_at
1,MF,松村　優太,15.82,3.04,7,0,1,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
2,DF,小川　諒也,13.14,1.92,7,0,2,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
3,MF,マテウス　ブエノ,12.56,2.42,7,0,0,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
4,DF,広瀬　陸斗,12.46,2.31,7,0,0,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
5,FW,鈴木　優磨,10.39,1.5,7,0,2,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
6,MF,柴崎　岳,10.37,2.91,7,0,1,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
7,MF,三竿　健斗,9.37,1.9,7,0,0,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
8,FW,レオ　セアラ,8.45,1.47,6,8,0,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
9,FW,チャヴリッチ,6.94,3.0,7,4,0,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
10,DF,植田　直通,6.4,0.98,7,0,1,kasm,https://www.football-lab.jp/kasm/ranking,2026-09-14
1,DF,大森　渚生,10.39,1.48,7,0,1,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
2,DF,真瀬　拓海,8.63,1.23,7,1,0,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
3,MF,仙波　大志,8.48,1.21,7,0,2,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
4,DF,木本　恭生,6.86,1.03,7,2,0,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
5,FW,谷口　海斗,6.43,1.19,7,0,1,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
6,MF,鳥海　芳樹,6.01,1.05,7,1,2,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
7,MF,舩橋　佑,5.87,1.29,6,0,2,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
8,GK,西川　幸之介,4.83,0.69,7,0,0,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
9,DF,板倉　健太,4.72,0.98,5,0,0,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
10,FW,渡邉　新太,4.15,0.76,7,5,0,mito,https://www.football-lab.jp/mito/ranking,2026-09-14
1,MF,金子　拓郎,15.79,2.7,6,1,4,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
2,DF,宮本　優太,9.26,1.32,7,0,0,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
3,MF,渡邊　凌磨,8.77,1.71,7,1,3,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
4,MF,長沼　洋一,7.68,1.68,6,0,0,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
5,MF,マテウス　サヴィオ,7.56,1.88,6,2,0,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
6,MF,安居　海渡,6.45,1.35,6,0,0,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
7,MF,瀬古　樹,6.28,2.07,5,0,1,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
8,DF,ダニーロ　ボザ,5.12,0.83,7,0,0,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
9,MF,植木　颯,5.11,1.39,6,0,0,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
10,FW,小森　飛絢,4.77,1.06,7,1,0,uraw,https://www.football-lab.jp/uraw/ranking,2026-09-14
1,MF,マテウス　インディオ,7.01,1.11,7,0,0,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
2,MF,津久井　匠海,6.89,1.09,7,1,0,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
3,DF,河野　貴志,5.66,1.09,6,0,0,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
4,MF,田口　泰士,5.55,1.78,6,0,1,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
5,FW,エリソン,5.32,1.03,6,1,0,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
6,DF,石尾　陸登,5.16,1.65,5,0,1,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
7,FW,石川　大地,4.96,0.8,7,0,1,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
8,DF,飯田　貴敬,4.87,1.2,6,0,0,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
9,DF,ダニエル　ホール,3.54,0.52,7,0,0,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
10,FW,矢村　健,3.38,1.13,6,1,0,chib,https://www.football-lab.jp/chib/ranking,2026-09-14
1,MF,久保　藤次郎,18.0,2.86,7,2,3,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
2,MF,中川　敦瑛,14.09,2.03,7,0,2,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
3,DF,原田　亘,13.95,2.43,7,0,0,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
4,MF,小泉　佳穂,13.67,2.17,7,2,2,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
5,DF,古賀　太陽,12.35,1.76,7,0,0,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
6,DF,杉岡　大暉,11.81,1.97,6,0,0,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
7,MF,遠藤　渓太,9.54,1.79,7,1,0,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
8,MF,熊坂　光希,8.75,1.49,7,0,0,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
9,MF,渡井　理己,5.83,2.64,4,0,3,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
10,MF,山内　日向汰,4.77,1.39,6,0,0,kasw,https://www.football-lab.jp/kasw/ranking,2026-09-14
1,FW,長倉　幹樹,12.37,2.08,7,5,2,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
2,MF,本間　至恩,11.71,2.5,7,1,1,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
3,DF,アレクサンダー　ショルツ,11.44,1.76,7,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
4,MF,高　宇洋,11.18,1.72,7,1,0,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
5,FW,マルセロ　ヒアン,10.23,2.08,7,3,2,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
6,DF,室屋　成,9.99,1.68,6,0,1,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
7,DF,稲村　隼翔,9.76,2.02,5,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
8,FW,佐藤　恵允,7.22,1.33,7,0,2,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
9,DF,石原　広教,5.78,2.0,7,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
10,MF,橋本　拳人,5.75,1.53,5,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,2026-09-14
1,MF,福田　湧矢,9.66,1.89,6,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
2,DF,溝口　修平,6.29,1.08,6,1,1,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
3,MF,新井　悠太,6.11,1.59,6,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
4,FW,染野　唯月,5.91,0.89,7,0,1,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
5,MF,平川　怜,5.5,0.88,7,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
6,DF,林　尚輝,4.16,0.76,6,2,0,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
7,DF,鈴木　海音,3.61,0.63,7,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
8,DF,井上　竜太,3.6,0.68,6,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
9,MF,食野　壮磨,3.48,1.13,5,0,1,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
10,DF,内田　陽介,3.35,0.74,5,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,2026-09-14
1,FW,相馬　勇紀,16.75,2.45,7,2,3,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
2,MF,前　寛之,9.91,1.43,7,0,0,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
3,DF,昌子　源,9.08,1.3,7,0,0,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
4,DF,中村　帆高,8.45,1.5,7,2,1,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
5,MF,ネタ　ラヴィ,8.0,2.09,5,1,0,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
6,MF,明本　考浩,7.99,1.16,7,2,0,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
7,DF,中山　雄太,7.06,2.35,3,1,2,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
8,FW,西村　拓真,5.3,1.5,7,2,0,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
9,DF,望月　ヘンリー海輝,4.72,1.72,5,1,1,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
10,GK,谷　晃生,4.53,0.65,7,0,0,mcd,https://www.football-lab.jp/mcd/ranking,2026-09-14
1,MF,山本　悠樹,18.23,2.68,7,1,0,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
2,FW,伊藤　達哉,17.83,2.88,7,1,1,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
3,MF,橘田　健人,10.74,1.65,7,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
4,DF,山原　怜音,10.41,1.53,7,0,1,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
5,MF,脇坂　泰斗,10.12,1.45,7,2,1,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
6,FW,マルシーニョ,9.59,2.07,7,5,1,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
7,DF,佐々木　旭,9.53,2.77,7,0,1,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
8,DF,三浦　颯太,7.4,1.73,7,0,1,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
9,DF,ペドロ　ホマーノ,6.96,1.18,6,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
10,DF,谷口　栄斗,6.65,1.14,6,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,2026-09-14
1,FW,近藤　友喜,10.95,1.72,7,0,2,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
2,MF,松村　晃助,7.79,1.23,7,0,2,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
3,DF,角田　涼太朗,6.99,1.15,7,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
4,DF,井上　太聖,6.34,0.91,7,1,1,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
5,MF,天野　純,6.29,1.23,6,0,2,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
6,DF,ジェイソン　キニョーネス,6.28,0.9,7,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
7,MF,知念　慶,5.98,1.01,7,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
8,DF,諏訪間　幸成,5.38,0.77,7,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
9,MF,三井寺　眞,3.82,0.87,7,2,0,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
10,FW,谷村　海那,3.61,0.56,7,6,0,y-fm,https://www.football-lab.jp/y-fm/ranking,2026-09-14
