column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Away_Prev_Long Counter,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Opponent Area Possession,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_My Area Possession,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Season_Progress,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Urgency_Score,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Season_Progress,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Urgency_Score,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Backline_Matchup_3_vs_3,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Backline_Matchup_3_vs_4,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Backline_Matchup_4_vs_3,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Backline_Matchup_4_vs_4,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Home_Formation_3-1-4-2,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Home_Formation_3-3-2-2,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Home_Formation_3-4-2-1,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Home_Formation_4-1-2-3,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Home_Formation_4-2-1-3,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Home_Formation_4-2-3-1,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Home_Formation_4-4-2,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Away_Formation_3-1-4-2,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Away_Formation_3-3-2-2,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Away_Formation_3-4-2-1,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Away_Formation_4-1-2-3,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Away_Formation_4-2-1-3,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Away_Formation_4-2-3-1,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
Away_Formation_4-4-2,379,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 379}"
season,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
league,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
competition,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
category,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
section,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
match_date,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
kickoff_time,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
home_team,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
away_team,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
status,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
match_id,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
