match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason,provenance_summary
2026_special-100yj1-2-g-os-vs-nago,2,2026-02-15,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-tk-v-vs-mcd,3,2026-02-21,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-y-fm-vs-uraw,3,2026-02-21,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-shim-vs-kobe,3,2026-02-21,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-ka-f-vs-FCtk,3,2026-02-21,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-nago-vs-ngsk,3,2026-02-21,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-kasm-vs-kasw,3,2026-02-21,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-kyot-vs-fuku,3,2026-02-22,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-mito-vs-chib,3,2026-02-22,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-okay-vs-g-os,3,2026-02-22,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-3-c-os-vs-hiro,3,2026-02-22,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-hiro-vs-kyot,4,2026-02-27,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-kobe-vs-fuku,4,2026-02-27,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-mcd-vs-chib,4,2026-02-27,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-y-fm-vs-tk-v,4,2026-02-28,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-uraw-vs-kasm,4,2026-02-28,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-FCtk-vs-kasw,4,2026-02-28,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-g-os-vs-shim,4,2026-02-28,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-ngsk-vs-c-os,4,2026-02-28,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-4-okay-vs-nago,4,2026-03-01,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
