column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Away_Formation_3-4-2-1,10,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 10}"
Away_Formation_4-1-2-3,10,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 10}"
Away_Formation_4-2-1-3,10,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 10}"
Away_Formation_4-2-3-1,10,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 10}"
Away_Formation_4-4-2,10,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 10}"
season,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
league,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
competition,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
category,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
section,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
match_date,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
kickoff_time,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
home_team,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
away_team,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
status,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
match_id,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
